text	label
"Kootenai County Sheriff and Forest Service Law Enforcement in route to the area of 612 and 406 for a lost or injured hunter.

Report of an elderly male that shot a deer, wounding it so he followed it down and embankment. 

Nobody in the party has heard from him since but they keep hearing gunshots from way down the hill. They are unable to reach him.

#NorthIdahoNews
Post Sponsored by: East County Guns Inc.
East County Guns, Inc.
In Coeur d'Alene at Government & Appleway
www.eastcountyguns.com"	0
"This little maggot should be skinned alive to die slowly. Freak! 

El Paso Shooting: At least 10 Dead, Police Walk Back Claims of Multiple Shooters, Gang-Related Terrorism"	1
"Democrats are ignoring or defending the most radical criminal activity because they think the end justifies the means of getting rid of Orange Man Bad. 

They are willing to burn the country and destroy America so Trump stops tweeting. 

They are deadly wrong."	1
"Can anyone identify this witness? 

That guy was bragging that they spent 100K at a wedding and that they should be able to do whatever they want. He was standing in the hall taunting women. @fbi @WillardHotel @SecretService @realDonaldTrump"	0
There are just too many educated ignorant people in positions of authority in this country. Vote these people out in November.	1
"About time our side ""infiltrated"" a liberal inner sanctum."	0
"lol I guess I need to start watching Fox BUSINESS more  

#sidneypowell #maga #trump2020 #wewillwin"	0
(TAP PICTURE FOR FULL VIEW OR TO COPY.  COPY AND PASTE TO SHARE! ) 	0
"He is a SICK MAN & Folks turn their heads in this too! Satan is Very Visible!

EXCLUSIVE SOURCE: Biden Daughter's Diary Details 'Not Appropriate' Showers With Joe As Child - National File"	1
#CNN is so gay - blacks who hates whites marry them so they can hate fuck them 	1
Excellent!!! Hes doing it! Getting rid of the DeepState/Cabal puppets WHO. Now kick the United Nations out of our Country!!!	1
Why would anyone vote for a corrupt shitter like Biden when he belongs in GITMO?	1
'This is a Direct Threat - Serious Action MUST be Taken NOW!' - President Trump Demands Schumer be Punished For Threatening Gorsuch and Kavanaugh	0
Intel drone light show!! 	0
Donald Trump is Caucasian, Barbara Streisand is a Semite, so following accepted social media doctrine this makes her a racist and this is hate speech. We call on all Social Media Platforms to ban Barbara Streisand for hate speech #hatespeech #stopthebias #deplorables #rolltide	1
"I feel as though I can write things in here that I cannot on FB. Those is what has bothered me a great deal today. 
On a church steps were written black life matter. This sadden me and angers me. Do they not know and understand what the BLM movement is about. Its not about black lives mattering. It is about fascism its not about family or saving the lives of black people. 
I was very upset to see these words a church steps. 
These are end times the separation of sheep and goats. Those who truly accept the Lord Jesus as Savior and Lord and those who think good works and being a good person is going to get them into heaven."	0
"Wtf?? F*ck trump  
Donald trump is a white supremacist, if you vote for him again youre a white supremacist"	1
Trump Admin Bans Critical Race Theory Trainings At Federal Agencies	0
MAYBE WE SHOULD START IMPEACHMENT PROCEEDINGS..	0
"Too little too late !
I pray for our country 
This election the way it happened should have never been the way it happened 
They looted and lied and hoaxed and forced their agendas down POTUS and our throats! And we never knew what hit us until it was too late! Or did we ! I am so sick about it all! Now they are throwing back Covid on us another smokescreen! And that Phoney Fauci who I have despised since the attack conferences last spring! 
We must win back President Trump and the Senate. God help us!"	1
"4 times you've hauled these limpdicked commies before Congress for their MULTIPLE FEDERAL CRIMES, and done NOTHING but give grand speeches. 

They gave aid and comfort to the enemy. That is TREASON."	0
A #women? They sure grow up ugly in the northwest!!!	1
GOD IS REVEALING TRUTH AND THOSE THAT ARE HIS WILL RECEIVE AND ACT ON HIS TRUTH	0
Release the Kraken!	0
"Chuck Schumer: Were Nothing If Were Not a Nation of Immigrants

Kill them all"	1
"Scaramucci ( the rat) just called all President Trumps supporters a cult.
Micky Mouse wannabe should keep his snout shut. PO..."	1
"~ Action 7 ~ Savanah Hernandez ~ SUBSCRIBE ~ August 05, 2020 ~ 09:09 ~

ANTIFA Group Posts Plans To Build Deadly Weapons in ATX. - 39,615 views

Action 7 goes undercover to investigate a local ANTIFA group called ""Peace In Austin"". The group who held a protest supply drive and building time was exposed for trying to build dangerous weapons to be used at protests.

The Reopen America Back to School Special is now live! Save up to 60% on our most popular items!"	0
DEMONCRAPS r lying scum.	1
Democrats will continue to lie, lie, lie.....Democrats are the most corrupt, criminal creeps that ever walked.	1
"Portland protester charged with pointing 'high-powered laser' into officer's eye

Explore the Fox News apps that are right for you at 

morons!!! a bunch of white morons!! antifa has an army of dumbass white middle class twits who have no freaking clue about what they are doing! throw em in prison.. they are going to realize what it means to loose their ""FREEDOM""! maybe than they will appreciate the amazing country they are in!!"	1
Sudanese and Eritrean cowards running away to EU should be forced back by their countrys Armed Forces. Dont like it? Change it! We Europeans had 2 World Wars in 20th Century to create OUR homelands. Cowards! CREATE YOUR OWN COUNTRY! Many of my English & Scottish ancestors lost their lives for me and my fellow Britons, not for Africans!	1
Ex-civil rights activist says Black Lives Matter using 'low-income black America ... to promoteinsurrection'	0
#DigitalSoldiers #QPatriots #teamtrump2020 WE WILL WIN. DO NOT GIVE UP! IF YOU FEEL LIKE YOU ARE NEARING THE END OF YOUR ROPE... TIE A KNOW AND REMEMBER THERE IS NOTHING AS BAD AS US!	0
"Some people did something....this comment infuriates me!
Yes, they are called Muslim terrorists .... 

#NeverForget "	1
The mainstream media is biased by OMMISSION.	0
Its RINO! Say it! Republican In Name Only! RINO, Lisa Murkowski!! R.I.N.O.! There is no H! Unless shes in a Jim Carrey movie! 	0
"The roots of racism against blacks and Native Americans/Latinos, can be found in the Torah. In the 28th chapter of the book of Deuteronomy, of the Torah, it describes how if the Israelites broke certain commandments, God would allow numerous curses to come upon them. The Torah states that these curses would be a sign upon the Israelites and their descendants forever. This means that the curses help us identify those who are Israelites are today. What are some of the curses that would identify the Israelites?
And the LORD shall bring you into Egypt again with ships, by the way whereof I spoke to you, You shall see it no more again: and there you shall be sold to your enemies for slaves and bondwomen, and no man shall buy you ( Deuteronomy 28:68)."	1
DEMOCRATS LOVE THE POOR SO MUCH THAT EVERY TIME THEY GOVERN THE NUMBER OF THE POOR INCREASE !	1
THANK YOU PRESIDENT TRUMP 	0
When Kamala (whore) Communist gives an interview, wouldnt it be great if the interviewers first question is  do you swallow  ? That one question would just about finish her political ambitions.	1
Ginsberg is dead ! May this dirty Communist burn in hell ! Im so happy shes gone, and no longer stain the Supreme Court. I hope she was in pain and agony 	1
Guess BLM doesn't exist anymore since election over....haven't seen those hideous ADS since Nov 3	0
"The Supreme Court Just Turned A Law To Protect Women Against Them
WHATS SHOCKING IS THAT THE 3 FEMALE JUSTICES RULED AGAINST WOMEN & 3 MALE JUSTICES WROTE IN DECENT"	0
Biden In Debt To Communists  Exposed For American Betrayal  We The People Daily	0
Hard watching the tech hearing yesterday. The people in congress dont seem to know how technology works and which company was which... #draintheswamp	0
OK DOCTOR ASSHOLE NOW REVEALS THE CURE HUH? 8 MONTHS LATER? NO NEED FOR ANY FUCKING SHUTDOWN OF ANY BUSINESSES DITCH THE MINI-BURKA! BACK TO DAMN NORMAL..LORD FORGIVE MY CURSING PISSED! WE LET THESE PEOPLE RUIN AMERICA OVER A CURE IN OUR CABINETS!!!	1
Coronavirus has crippled the illegal drug trade and is costing the Mexican cartels millions of dollars as they get caught moving stock and bundles of illicit cash.	0
These thugs are not peaceful, and their intent is evil.	1
If only there were a group of proud aryan men in brown shirts to clean up these communist scum.	1
Michael Savage is 100% CORRECT HERE! WERE HEADING INTO THE SECOND REVOLUTION! MARXIST COURTS JUDGES & LAWYERS ARE RUNNING OUR COUNTRY USURPING YOUR POWER WHILE OVERRIDING OUR CONSTITUTION & BILL OF RIGHTS! THESE MARXIST MUST & WILL BE STOPPED! youtu.be/_B_Op1szIyQ	1
Everyone has a story. Boring. Yes boring. They push these false narratives. If there isn't more black doctors, it's because blacks aren't choosing medical school. Yes we have a fair system, but you have got to want to succeed and work to succeed. Maybe they don't want to be doctors. More money to be made in sports. #ReparationsNotTheAnswer	0
He is the devil	1
Welcome. I hope youre well. Im looking forward to your insights.	0
"The Beach Boys - Kokomo (1988) - YouTube 

NICE WORK IF YOU CAN GET IT !!!!!!!!!!"	0
"What COVID?

CA REPORTS 5,442 HOSPITALIZATIONS, DOWN 19.4% IN LAST 14 DAYS

CA SAYS LATEST CASE COUNT INCLUDES BACKLOG FROM DATA DELAY"	0
CNN finally cracks down on Gov. Cuomo's nursing home controversy after giving anchor's brother softball treatment	0
"Turning To Violence ...

Is Not Something You Do ...

If You Are Expecting To Win An Election.

It Is Axiomatic.
."	0
"THIS WAR IS OURS
DEMOCRATS ARE COMING WITH THE GUILLOTINES TO OVERTAKE AMERICA AND THE PLANET!"	1
I hate Muslims. I hate democrats, they are the first targets	1
Whilst these people interfere with politics, churches are being burnt down, crucifixes are being torn down - and the Christian Faith is being replaced with islam.	1
Senate Demands Hunter Biden Turn Over Bank Records, Wire Transfers, Account Balances And Travel Records By Friday	0
Chris Cuomo Attempted To Criticize Trump Economy Using Obama-Era Data	0
"Must See!... Mark Levin UNLOADS on the Schiff Sham: ""We Need the Whistleblower to Testify, We need Schiff to Testify because the Whole House of Cards Will Collapse""."	0
The argument that all Trump supporters are racist, bigoted, nazis is not based on science. Trust the science.	0
TROLL ALERT !! ECHO AND BLOCK!!!	0
"Malaysia

MCA denotes Make Malaysian-Chinese Angry

Now, Wee Ka Siong tries to sabotage the Penang state government & sell out the ethnic Chinese through & through.

You may judge it for yourselves."	0
Do they really think trying to shut us down again is going to stop what is coming or keep them safe from the wrath of Trump and the DOJ once this all comes out?! You can try to lock us down or up but you won't shut us up or lock us up! We the people have had enough of all of your lying, scheming, treasonous pay to play BS!!! Silent majority is silent no more! Finish flushing the toilet Mr. President! We the people have had enough. Time to dust off the gallows. Better yet, let's get those gulliotines Obama had planned for us and start using those! Cut the head off the devils minions.	1
I just joined Parler! Looking forward to meeting everyone here.	0
THIS HAS BEEN A PUBLIC SERVICE ANNOUNCEMENT ON BEHALF OF THE GOOD LORD ALMIGHTY. WE THANK YOU FOR TUNING IN	0
"PARLER VRGN,.brand NEW to ThS Place,. Am REALLY hopin To see some good Improvents and a MASSS EXODUS From BigTEch Surveillance Grids FB/TWITTER To An Actual PRO AMERCAN, PRO FREE SPEECh ACTUAL LEGTMATE PLATFORM n STRIP EM of All ThER POWERs OVER Our NATiONs/GENERATONs WARPEd fROM ThER CRRUPT EVL SOCAL ENGNEERNG,
MUCh LOVE YALL, 
UNdERGROUNd NATNs SGNNG ON#1776WORLdWdEbAbY
~XLd"	0
Kamala Harris and Joe Biden you are entitled to your own opinions but NOT your own FACTS!! LOL	1
These people and their Climate Change lies are the number ONE reason that so many Californians have lost their homes and loved ones to massive wildfires for YEARS. Greenies, refusing to allow responsible culling of trees, deadwood and brush are THE reason! Even if a member of Antifa lit this latest monster, it is STILL the Democrat's fault, for REFUSING to end the riots and violence! Like every OTHER tragedy, this lies squarely in the Democrat's laps!	1
From the First Page, Judge Gleesons Brief Against Flynn is a Travesty - American Thinker	0
"New Trump Ad Broadcast During World Series
Genius"	0
"Trump Rallies poppin up all over the country
"	0
"""Battle for the Soul of the Nation."" 
What pathetic hypocrites! The soul of the nation is God. The same God the dems are trying to take out of our lives. They sold their souls to satan. Why else would they demonize everything good and endorse evil through hatred, lies, terrorism at any degree, canonizing criminals, and violence? Vote and pray! "	1
"We will eat you ass alive if this is a Pelosi stunt...

JS

I dont trust hardlyany of em"	1
"Bubba Wallace Is Just A Waste Of Time.... He's History!!!!..

Bubba Wallace Will Always Be REMEMBERED AS A VICTIM OF A ""RACIST HOAX"" THAT ""ONLY HE CREATED AGAINST WHITES""."	0
"It never ceases to amaze me when the same people who wish to see ""equality"" among the races then go and act as if minorities need them to achieve said ""equality"" like a faux-benevolant Ubermensch preciding over an perpetual Untermensch."	0
"Stop the lie

    "	0
"Masks are for the Plebes, not the ruling class elitist such as Nancy Pelosi
We need to send the Left elitist a clear message:
We will Not be Conditioned, and We will Not be Controlled by Fear.
I refuse to wear a Mask, I refuse to live my life in fear of a lab created CCP virus."	1
"""The US Constitution Is Hanging in the Balance Here"" - Rush Limbaugh Lays Out Historic Significance of Texas SCOTUS Lawsuit"	0
TV Crew Attacked While Covering Philadelphia Riots	0
THE DAILY MAIL BLOCKED ME !!	0
MORE BULLSHIT from fucken Aussie and Samoan GLOBALIST scum with the SCAMDEMIC!!! FEAR AND MORE FEAR and the LIES about this BULLSHIT SCAM are creating more PANIC in the pacific!!! For fuck sake, WAKE UP SHEEPLE, the SCAMDEMIC is a LOAD OF BULLSHOT	0
Chk out the Mitch Show.	0
Host Who Replaced Shepard Smith On FOX News Gets Double Digit Increase In Ratings	0
This prosecutor lady is a the true RACIST! you can see the evil in her eyes. She is nothing but scum and a waste of space on this earth.	1
Yep pork for everybody but American taxpayers	1
Man Accused of Sick AutoZone Employee Stabbing Allegedly Said He 'Felt the Need To Find a White Male To Kill'	1
"BREAKING NEWS!!!
Donald Trump has pardoned General Michael Flynn right before Thanksgiving!!!
"	0
Fuck this guy in his stupid ass.	1
"Attention #maga #maga2020 #kag #trumpsupporters #trumpsupporter #proudboys #voteredtosaveamerica #republicans and all the rest of you #cultmembers 
The tubby orange turd lost. Rejoin #america or be treated as traitors 

#americaortrump"	0
It does seem a little odd??	0
"Post #96 WHAT IS NEW WORLD ORDER? Part 3. A detailed explanation.

New World Order"" is a phrase to describe the uniting of the worlds superpowers to secure and maintain global peace. World leaders are looking forward for world peace. Much talk in media, TV shows and music all promoting for humans to enteri into a ""new era and the establishment of a New World Order.

The Bible reveals the true intentions of the #NWO. It is the agenda to gain economic control of the world monetary system. The #Bible prophesizes in the last days, the antichrist will be able to track and control all financial transactions. This is where #blockchain technology will come into play and be used to do the tracking and controlling. No one is able to buy or sell anything unless he has the mark of the beast. [Rev 13:16-17]

Refer to post #94 #93

#NWO #church #endtimes #bible #christian #Jesus #JesusChrist"	0
I have to say that everyone on here trying to sell there goods is getting annoying. Our country is collapsing and you want to capitalize on it. I get it, but enough.	0
You're a brainwashed MORON if you agree with forced masking at this point. Yet another family banned from an airline because a baby wouldn't listen. And if you voted biden you voted for this too along with communism and permanent rolling lockdowns. Shame on you.	1
"Red Pilled Patriot Style!

Can I get an Echo??

Rich got ur 6."	0
Texas Republican Uses Legal Precedent To Pin Down Mueller on 'Unique' Trump Investigation	0
How To Get Your High Schooler A College Degree At No Or Low Cost	0
"It's irrelevant to white victims why black crime rates are as high as they are. Nobody is going to say ""it's okay that my 5 year old son was shot in the head by my vibrant neighbor because I'm atoning for slavery."" All that matters is that the rate is higher unless our ruling class seriously thinks it can ask people to be literal human sacrifices for their lunatic political religion. We can argue about systemic racism, social construction, and IQ all day, but it's irrelevant unless we think the state no longer has an obligation to protect citizens. And even if it was true that blacks commit armed robbery and can't do algebra because they didn't have black Barbie dolls or whatever the fuck, how does the left think that forcing black violent crime on white communities will end ""racism?"" Isn't it obvious that forced integration will increase it? If racism really is our biggest problem, forced racial integration isn't the solution to it. It would only compound the problem"	0
"Virginia Governor wants to instigate another ""Charlottesville"" by removing the Robert E. Lee statue. I wouldn't fall for it. If you protest, the media would add that to the ongoing race war. You'd be falling for their trap by showing up."	0
EXPLOSIVE: OBAMA AND RENZI, FORMER PM OF ITALY ORCHESTRATED THE THEFT OF U.S. ELECTION	0
Joe Biden Proposes Reviving Obama Social Security Gun Ban - David Harris Jr..	0
Remember The Hail Mary's	0
"328 million Americans are allowing less than 100 Elitist criminals to destroy us and our country. 

Let that soak in!"	1
"Andy Cuomo is a Total Dumbfuck (Bitchute Exclusive)
Styxhexenhammer666"	1
Kamala toe is a complete idiot.	1
President Trump Claims He Will Declassify Everything Over Democrat Lying And Treason | The Daily Wire	0
"Arrest and punish Hunter Biden, or this will just be money protecting money needing a release hole in their head. The Bidens are corrupt like Harris is a slave-driving racist. 
AllSides.com - see today's news from every side"	1
Ohio House Speaker Larry Householder arrested in $60M bribery case related to HB6 nuclear bailout	0
Goals of Marxism.	0
I guess waiting for the deaths of Pelosi, Schumer, Sanders heart disease, Biden disease brain eating him away. Can't wait oh coward Kerry. Does anyone care.	1
Because russia is going to run this country. Where do you think the Bidens got all that money?joe biden and his child molester son hunter they sold this country to china thats why they wanted biden in the White House think about that for a minute	1
Woman Arrested For Sending Threats To Wayne County Republican Who Refused to Certify Vote; Threats Included Pics Of Mutilated Bodies	0
"If this be treason, make the most of it!
Patrick Henry"	0
ELON! TIME TO MAKE STUFF!!	0
Pennsylvania Mandates Face Masks Be Worn In Private Homes | Gregg Jarrett	0
Candace being savage 	0
Gunshots, Motorcycle Deaths Count as COVID Casualties	0
"This is the first time I've disagreed with the President. He should declare martial law. Arrest all the Democrat loving Marxist Rioters. Throw them in jail as terrorists. They can't vote then. Don't deserve a vote, destroyers of the country. 
Normality can return!"	1
Time to get Senator Joe Manchin (D-WV) to switch parties. WV is now solidly R and Manchin is closer philosophically to the Rs than to the Ds at this point. He might still win as a D but ......	0
"The Hollywood Reporter is a Deep State construct.

One of 276 subsidiaries of the U.S. Government founded Prometheus Global Media Group.

Google it, they stopped caring what we can find out long ago.

Ever feel poisoned?

Ever research Floride?

Do you really think the Deep State gives a fuck about your teeth?

Wake up to the obvious.

We don't have much more time left to pull this off."	0
It was all Bullshit.	0
Terrorism Gaslighting when your False Flag Capabilities are too degraded to distract attention from Biden Ukraine Pay to Play Foreign Aid Skimming Scam 	0
Elite satanic pedo cults are just conspiracy theories, right? 	0
Are we moving BT here or what?	0
 Patriots REJOICE! Flag Store CRUSHES Nike, Kaepernick After Selling THOUSANDS....	0
"Once comedian now Hollyweird CEO has his own BLM equality agenda. 

Please."	0
"In attention to :

The 45th President of the United States.

Dear Mr. President,

You're absolutely right when you said that Ilhan Nur Said Elmi and Rashida Tlaib HATE Israel.

I can also assure you that they have a true passion towards, Qatar, Afghanistan, Iran, Taliban, Hamas and or perhaps, any Islamic filthy hole where the scum on humanity such as the Islamic State ISIS usually hides, because they're indeed #cowards from a culture of abomination that MUST be completely ERASE from the face of planet Earth."	1
"Dear @leeleemunster 
Your background image of the Stars and Stripes made with Bacon  is hilarious. I am #Vegan to protect my heart. I have had muslims stop my ability to block them so Ive had to get down and dirty and start sending them pig  pictures. If they continue to follow me I start sending them Bacon pictures.
Can you send me this image intact? I would put it in my pig  picture arsenal. It does work.
Blessings.
 "	0
"Hillary Clinton: I when the history books are written, I will be remembered as the most corrupt politician in American history 

Joe Biden: bitch...hold my beer 

Kamala Harris: kindergartners ...this girl is only warming up. America isnt gonna know what hit em"	1
"RIP SISTER PATRIOT ASHLI 

THIS SENSELESS KILLING BY THE CAPITAL POLICE OFFICER NEEDS TO BE INVESTIGATED...."	0
Join the #military #goyim and die for #israel and #godschosenpeople .... I mean for your people's #freedom of course!	1
"We called Gitmo detainees ""Carrots"" and Camp X-Ray ""The Garden. - Saving Grace at Guantanamo Bay: A Memoir of a Citizen Warrior #nonfiction #militarybook by #veteran MAJ (RET) Montgomery J. Granger  Inside #Gitmo"	0
Remember just about every Hollywood shit bag that is screaming about Trump is a pedophile. Like this little asshole for example. Pedophiles belong in hell where they came from.	1
"Biden is not only a corrupt, lying, greedy piece of crap humans and father, hes a murderer. 
He is responsible for the executions of 20 CIA operatives in China. He ratted them out to line his pockets. He is WORSE than Hillary! I didnt think it was possible!"	1
Diversity and inclusion....means no straight white men...	0
"Enough of this crap china dump this germ war fare in America democrat are obey their puppet master china in helping to infect more Americans and destroy our country. In jan when trump and republicans take Washington we need one big protest to investigate China and the Democratic Party in the murders of everyone in America and the world for this germs that they released and supported.
"	1
Police Officer Faces Death Penalty  For Defending Himself  The Right Wing Rebel	0
HER AND THE BLM CAN GO TO HELL THEY ARE A TERRORIST MOB AND THEY ARE CRIMINALS AND RACIST PUPPETS	1
It is time to force Lindsey Graham head of the judiciary committee in the senate to step down and we must appoint Ted Cruz as chairman of the judiciary committee Graham is a pussy and he must be removed	0
Shameful Dems go after Amy's CHILDREN.	0
Some good news from Lindsey Graham. Still dont trust him.	0
300 Billion spent on Illegal Immigration this year (by us.. the taxpayers) with a couple weeks left..all to help communism succeed in the U.S.	1
"Stupid ass stunt ( 25th amendment)
By a stupid ass bitch (Pelosi)"	1
"Clap for that you stupid bastards!!

"	1
"Time to aggressively boycott.

GET OFF FACEBOOK & Twitter!!

Go to My Freedom Book & Parler instead.

Stop buying from Amazon."	1
I think its fair to tell the fake news that after the election you call the amer ppl racist again we will be outside your studios waiting for a face to face an there is not enough security to stop us from stomping you fucking mouthpeices into the ground fucking count on it .	1
I am seeing this more and more, Made in the USA, China and the Biden family can eat shit.	1
"#breakingNews

James O'Keefe
RECORDING: Federal agents coerce USPS whistleblower Hopkins to water down story. Hopkins doubles down...

Agent Strasser: I am trying to twist you a little bit

I am scaring you here... we have Senators involved...DOJ involved...reason they called me is to try to harness"	0
"Democrats are stealing your Social Security money to pay Impeachment costs 

Pelosi Diverts $2.4 Billion From Social Security To Cover Impeachment Costs  Potatriots Unite"	1
Time to teach kids a lesson, treason is treason and let the law that was written hold these accountable!!!	0
Around blacks never relax	1
If these morons that are in Congress then our courts like that piece of shit judge in Pennsylvania Obama pick Criminal Nazi. I think were going to sit back after seeing Arizona Pennsylvania Georgia Michigan Wisconsin Nevada all showing fraudulent votes in our face. Then seeing them call California Washington state and Oregon for Joe Biden before the polls were even open November 3 and then youre sadly mistaken. Take our country back from these corrupt Nazi criminals who been selling out our country and put them in prison for treason then Execute them Ive had enough of this takeover of our freedoms we also have the a Chinese military They will call peacekeepers in Canada waiting for this piece of shit to be called president is that what you want	1
"WHERE ARE THE NATIONAL GUARD IN WASHINGTON???
WHY ARE THEY NOT DEPLOYED TO PROTECT THE PEACEFUL AMERICAN TRUMP FOLLOWERS??"	0
Fuck you DNC and all of your lies, your treachery, your treasonous acts and all of your political special interest bullshit !!	1
Repealing the Tax Cuts Would Hit Middle Class and Workers	0
If you won't say the Pledge of Allegiance & the National Anthem with pride you shouldn't call yourself an American. 	0
NEVER IN MY LIFE HAVE I EVER HEARD THAT MORE JOBS, LOWEST UNEMPLOYMENT , GREATEST ECONOMY, STRONGER MILITARY, AND A SAFER COUNTRY WERE BAD THINGS!!! WHO IN THEIR RIGHT MINDS WOULD EVER FIND ANYTHING WRONG WITH THESE ACCOMPLISHMENTS ?? WHO? DEMOCRATS !! THEIR SCUM MEDIA !! THEIR SHEEP THAT FEED OFF OF THE IDIOCY THEY ARE BEING FED !! ASK YOURSELF IF THESE SHEEP HATE ALL OF THESE ACCOMPLISHMENTS THEN WHY ARE THEY HERE ?	1
"Four young gentlemen from Manchester who after having a few drinks thought it would be fun to rip up and destroy a memorial garden dedicated to WWI soldiers who died fighting. Who died fighting so these little bastards could go out drinking with the freedom their lives cost them. Some of who were a lot younger than these men who didnt come home to their parents.

Lewis Hall
Lewis Hart
Elliot McBurnie
Jordan Taylor"	0
"Somalian Terrorist Ilhan Omar points out one f**ked up detail about Trump's war on Iran  STOP RIGHT THEREif it involves Omar, its a lie...move on! 

 "	1
Watching Joe Biden speaking on TV hes choking on his own bullshit coming out of his mouth	0
BIDEN CALLED US BROWN SHIRT NAZIS, OUR PRESIDENT HITLER AND HE NOW WANTS TO UNITE THE COUNTRY .	1
"A report published over the weekend citing three anonymous sources claimed Trump plans to declare victory on Tuesday night if he appears to be ahead...That was a false report. Well look at what happened, Trump told reporters on Sunday in Charlotte...I think its a terrible thing when ballots can be collected after an election. I think its a terrible thing when people or states are allowed to tabulate ballots for a long period of time after the election is over because it can only lead to one thing, and thats very bad. You know what that thing is. I think its a very dangerous, terrible thing. And I think its terrible when we cant know the results of an election the night of the election in a modern-day age of computers, he added."""	0
